
;======================================================== ~~  ~~ =========================================================;
;================================================ ~~ SID&STAR-Section ~~ =================================================;
[SIDSSTARS]
STAR:EFKE:18:BEXUL4K:BEXUL XULBI LEGVU ;  Combiner=EFKE1/5 | ID=18_BEXU4K
STAR:ESGP:19:R·GP850·RNP:GP850 GP403 GP404 ;  Combiner=ESGP1/6AR | ID=19_R_GP850_R
STAR:ESGP:19:S·GP401·RNP:GP401 GP403 GP404 ;  Combiner=ESGP1/6AR | ID=19_S_GP401_R
STAR:ESGP:19:L·GP412·181·RNP·H:GP412 GP413 GP414 GP415 ;  Combiner=ESGP1/6AH | ID=19_L-GP412_181_H-H
STAR:ESGP:19:R·GP860·181·RNP·H:GP860 GP413 GP414 GP415 ;  Combiner=ESGP1/6AH | ID=19_R-GP860_181_H-H
STAR:ESGP:19:S·GP411·181·RNP·H:GP411 GP413 GP414 GP415 ;  Combiner=ESGP1/6AH | ID=19_S-GP411_181_H-H
STAR:ESGT:15:FM·NDB:FM ;  Combiner=ESGT1/AN | ID=15_FM_N
STAR:ESGT:15:L·GT900·RNP:GT900 GT910 GT915 ;  Combiner=ESGT1/6AR | ID=15_L_GT900_R
STAR:ESGT:15:R·GT905·RNP:GT905 GT910 GT915 ;  Combiner=ESGT1/6AR | ID=15_R_GT905_R
STAR:ESGT:15:S·GT910·RNP:GT910 GT915 ;  Combiner=ESGT1/6AR | ID=15_S_GT910_R
STAR:ESGT:33:PG·ILS:PG CF33 FF33 ;  Combiner=ESGT1/AI | ID=33_PG_I
STAR:ESGT:33:PG·NDB:PG ;  Combiner=ESGT1/AN | ID=33_PG_N
STAR:ESGT:33:L·GT650·RNP:GT650 GT630 GT633 ;  Combiner=ESGT1/6AR | ID=33_L_GT650_R
STAR:ESGT:33:R·GT640·RNP:GT640 GT630 GT633 ;  Combiner=ESGT1/6AR | ID=33_R_GT640_R
STAR:ESGT:33:S·GT630·RNP:GT630 GT633 ;  Combiner=ESGT1/6AR | ID=33_S_GT630_R
STAR:ESIA:06:KBG:KBG ESIA ;  Combiner=ESIA1/2 | ID=06_KBG
STAR:ESIA:06:OVHD·IA:ESIA ;  Combiner=ESIA1/2 | ID=06_OVHD-IA
STAR:ESIA:24:KBG:KBG ESIA ;  Combiner=ESIA1/2 | ID=24_KBG
STAR:ESIA:24:OVHD·IA:ESIA ;  Combiner=ESIA1/2 | ID=24_OVHD-IA
STAR:ESIB:01:SG·ILS:SG CF01 FF01 ;  Combiner=ESIB1/AI | ID=01_SG_I
STAR:ESIB:01:OVHD·IB:ESIB ;  Combiner=ESIB1/2 | ID=01_OVHD-IB
STAR:ESIB:01:L·IB721·RNP:IB721 IB723 IB724 ;  Combiner=ESIB1/6AR | ID=01_L_IB721_R
STAR:ESIB:01:R·IB600·RNP:IB600 IB723 IB724 ;  Combiner=ESIB1/6AR | ID=01_R_IB600_R
STAR:ESIB:01:S·IB722·RNP:IB722 IB723 IB724 ;  Combiner=ESIB1/6AR | ID=01_S_IB722_R
STAR:ESIB:01:SG·NDBDME:SG FQ01 21DME ;  Combiner=ESIB1/AQ | ID=01_SG_Q
STAR:ESIB:11:OVHD·IB:ESIB ;  Combiner=ESIB1/2 | ID=11_OVHD-IB
STAR:ESIB:19:LG·ILS:LG CF19 FF19 ;  Combiner=ESIB1/AI | ID=19_LG_I
STAR:ESIB:19:OVHD·IB:ESIB ;  Combiner=ESIB1/2 | ID=19_OVHD-IB
STAR:ESIB:19:L·IB531·RNP:IB531 IB533 IB534 ;  Combiner=ESIB1/6AR | ID=19_L_IB531_R
STAR:ESIB:19:R·IB860·RNP:IB860 IB533 IB534 ;  Combiner=ESIB1/6AR | ID=19_R_IB860_R
STAR:ESIB:19:S·IB532·RNP:IB532 IB533 IB534 ;  Combiner=ESIB1/6AR | ID=19_S_IB532_R
STAR:ESIB:19:LG·NDBDME:LG FQ19 ;  Combiner=ESIB1/AQ | ID=19_LG_Q
STAR:ESIB:29:OVHD·IB:ESIB ;  Combiner=ESIB1/2 | ID=29_OVHD-IB
STAR:ESKM:16:OVHD·KM:ESKM ;  Combiner=ESKM1/2 | ID=16_OVHD-KM
STAR:ESKM:16:KM850·ILS·Z:KM850 KM852 FI16 ;  Combiner=ESKM1/AI | ID=16_KM850_I-Z
STAR:ESKM:16:NM·ILS·Y:NM D359G CI16 FI16 ;  Combiner=ESKM1/AI | ID=16_NM_I-Y
STAR:ESKM:16:L·KM500·RNP:KM500 KM852 KM853 ;  Combiner=ESKM1/6AR | ID=16_L_KM500_R
STAR:ESKM:16:R·KM851·RNP:KM851 KM852 KM853 ;  Combiner=ESKM1/6AR | ID=16_R_KM851_R
STAR:ESKM:16:S·KM850·RNP:KM850 KM852 KM853 ;  Combiner=ESKM1/6AR | ID=16_S_KM850_R
STAR:ESKM:16:NM·NDB:NM D010E CF16 NM ;  Combiner=ESKM1/AN | ID=16_NM_N
STAR:ESKM:34:OVHD·KM:ESKM ;  Combiner=ESKM1/2 | ID=34_OVHD-KM
STAR:ESKM:34:L·KM700·RNP:KM700 UNTOB KM552 ;  Combiner=ESKM1/6AR | ID=34_L_KM700_R
STAR:ESKM:34:R·KM551·RNP:KM551 UNTOB KM552 ;  Combiner=ESKM1/6AR | ID=34_R_KM551_R
STAR:ESKM:34:S·KM550·RNP:KM550 UNTOB KM552 ;  Combiner=ESKM1/6AR | ID=34_S_KM550_R
STAR:ESKM:34:BOR25·NDB:BOR25 BOR32 SM ;  Combiner=ESKM1/AN | ID=34_BOR25_N
STAR:ESKM:34:SM·NDB:SM ;  Combiner=ESKM1/AN | ID=34_SM_N
STAR:ESKN:08:NW·LOC:NW CL08 FL08 30LOC ;  Combiner=ESKN1/AL | ID=08_NW_L
STAR:ESKN:08:GIMLO2S·LOC:GIMLO BELRO KN801 CL08 FL08 30LOC ;  Combiner=ESKN1/5L | ID=08_GIML2S_L
STAR:ESKN:08:INGIS2S·LOC:INGIS KN620 KN849 KN820 KN801 CL08 FL08 30LOC ;  Combiner=ESKN1/5L | ID=08_INGI2S_L
STAR:ESKN:08:NILUG2C·LOC:NILUG KN420 KN910 KN900 KN801 CL08 FL08 30LOC ;  Combiner=ESKN1/5L | ID=08_NILU2C_L
STAR:ESKN:08:PELUP2S·LOC:PELUP KN822 KN821 KN820 KN801 CL08 FL08 30LOC ;  Combiner=ESKN1/5L | ID=08_PELU2S_L
STAR:ESKN:08:NW·NDB:NW CN08 NW ;  Combiner=ESKN1/AN | ID=08_NW_N
STAR:ESKN:26:PEO·ILS:PEO CF26 FF26 ;  Combiner=ESKN1/AI | ID=26_PEO_I
STAR:ESKN:26:GIMLO2T:GIMLO KN652 KN651 KN650 KN501 CF26 FF26 ;  Combiner=ESKN1/5I* | ID=26_GIML2T_I
STAR:ESKN:26:GIMLO2D:GIMLO KN522 KN521 KN520 KN501 CF26 FF26 ;  Combiner=ESKN1/5I* | ID=26_GIML2D_I
STAR:ESKN:26:INGIS2T:INGIS KN651 KN650 KN501 CF26 FF26 ;  Combiner=ESKN1/5I* | ID=26_INGI2T_I
STAR:ESKN:26:NILUG2D:NILUG REMBO KN501 CF26 FF26 ;  Combiner=ESKN1/5I* | ID=26_NILU2D_I
STAR:ESKN:26:PELUP2T:PELUP KN822 KN652 KN651 KN650 KN501 CF26 FF26 ;  Combiner=ESKN1/5I* | ID=26_PELU2T_I
STAR:ESKN:26:TRS4F:TRS D222J CF26 FF26 ;  Combiner=ESKN1/2I* | ID=26_TRS4F_I
STAR:ESKN:26:PEO·NDB:PEO CN26 PEO ;  Combiner=ESKN1/AN | ID=26_PEO_N
STAR:ESKS:15:INBES1S:INBES KS700 KS701 KS852 KS851 FF15 ;  Combiner=ESKS1/5A*I* | ID=15_INBE1S_KS852_I
STAR:ESKS:15:L·KS854·ILS:KS854 KS851 FF15 ;  Combiner=ESKS1/6AI | ID=15_L_KS854_I
STAR:ESKS:15:R·KS852·ILS:KS852 KS851 FF15 ;  Combiner=ESKS1/6AI | ID=15_R_KS852_I
STAR:ESKS:15:S·KS853·ILS:KS853 KS851 FF15 ;  Combiner=ESKS1/6AI | ID=15_S_KS853_I
STAR:ESKS:15:L·KS854·RNP:KS854 KS851 KS850 ;  Combiner=ESKS1/6AR | ID=15_L_KS854_R
STAR:ESKS:15:R·KS852·RNP:KS852 KS851 KS850 ;  Combiner=ESKS1/6AR | ID=15_R_KS852_R
STAR:ESKS:15:S·KS853·RNP:KS853 KS851 KS850 ;  Combiner=ESKS1/6AR | ID=15_S_KS853_R
STAR:ESKS:33:INBES1T:INBES KS604 KS601 FI33 ;  Combiner=ESKS1/5A*I* | ID=33_INBE1T_KS604_I
STAR:ESKS:33:NISGO1T:NISGO KS603 KS601 FI33 ;  Combiner=ESKS1/5A*I* | ID=33_NISG1T_KS603_I
STAR:ESKS:33:L·KS604·ILS:KS604 KS601 FI33 ;  Combiner=ESKS1/6AI | ID=33_L_KS604_I
STAR:ESKS:33:R·KS602·ILS:KS602 KS601 FI33 ;  Combiner=ESKS1/6AI | ID=33_R_KS602_I
STAR:ESKS:33:S·KS603·ILS:KS603 KS601 FI33 ;  Combiner=ESKS1/6AI | ID=33_S_KS603_I
STAR:ESKS:33:L·KS604·RNP:KS604 KS601 KS600 ;  Combiner=ESKS1/6AR | ID=33_L_KS604_R
STAR:ESKS:33:R·KS602·RNP:KS602 KS601 KS600 ;  Combiner=ESKS1/6AR | ID=33_R_KS602_R
STAR:ESKS:33:S·KS603·RNP:KS603 KS601 KS600 ;  Combiner=ESKS1/6AR | ID=33_S_KS603_R
STAR:ESMK:01:KD·NDBDME:KD CQ01 FQ01 40DME ;  Combiner=ESMK1/AQ | ID=01_KD_Q
STAR:ESMK:01:L·MK730·RNP:MK730 MK710 MK700 ;  Combiner=ESMK1/6AR | ID=01_L_MK730_R
STAR:ESMK:01:R·MK560·RNP:MK560 MK710 MK700 ;  Combiner=ESMK1/6AR | ID=01_R_MK560_R
STAR:ESMK:01:S·MK720·RNP:MK720 MK710 MK700 ;  Combiner=ESMK1/6AR | ID=01_S_MK720_R
STAR:ESMK:01:DME14·NDBDME:D178N CQ01 FQ01 40DME ;  Combiner=ESMK1/AQ | ID=01_DME14_Q
STAR:ESMK:19:OEM·ILS:OEM CF19 FF19 ;  Combiner=ESMK1/AI | ID=19_OEM_I
STAR:ESMK:19:DME13·ILS:D001M CF19 FF19 ;  Combiner=ESMK1/AI | ID=19_DME13_I
STAR:ESMK:19:L·MK530·RNP:MK530 MK510 MK500 ;  Combiner=ESMK1/6AR | ID=19_L_MK530_R
STAR:ESMK:19:R·MK840·RNP:MK840 MK510 MK500 ;  Combiner=ESMK1/6AR | ID=19_R_MK840_R
STAR:ESMK:19:S·MK520·RNP:MK520 MK510 MK500 ;  Combiner=ESMK1/6AR | ID=19_S_MK520_R
STAR:ESMK:19:OEM·NDB:OEM ;  Combiner=ESMK1/AN | ID=19_OEM_N
STAR:ESMQ:16:BEXAM·ILS:BEXAM CF16 FF16 ;  Combiner=ESMQ1/AI | ID=16_BEXAM_I
STAR:ESMQ:16:KAL·ILS:KAL CF16 FF16 ;  Combiner=ESMQ1/AI | ID=16_KAL_I
STAR:ESMQ:16:L·MQ853·RNP:MQ853 MQ850 MQ854 ;  Combiner=ESMQ1/6AR | ID=16_L_MQ853_R
STAR:ESMQ:16:R·MQ852·RNP:MQ852 MQ850 MQ854 ;  Combiner=ESMQ1/6AR | ID=16_R_MQ852_R
STAR:ESMQ:16:S·MQ851·RNP:MQ851 MQ850 MQ854 ;  Combiner=ESMQ1/6AR | ID=16_S_MQ851_R
STAR:ESMQ:16:BEXAM·1·ILS:LAGIS BEXAM CF16 FF16 ;  Combiner=ESMQ1/3A*I | ID=16_BEXAM-1_BEXAM_I
STAR:ESMQ:16:BEXAM·2·ILS:LATVI BEXAM CF16 FF16 ;  Combiner=ESMQ1/3A*I | ID=16_BEXAM-2_BEXAM_I
STAR:ESMQ:16:BEXAM·3·ILS:MOVIS BEXAM CF16 FF16 ;  Combiner=ESMQ1/3A*I | ID=16_BEXAM-3_BEXAM_I
STAR:ESMQ:16:BEXAM·4·ILS:TILSA BEXAM CF16 FF16 ;  Combiner=ESMQ1/3A*I | ID=16_BEXAM-4_BEXAM_I
STAR:ESMQ:16:LAGIS6E:LAGIS D230M D316K CF16 FF16 ;  Combiner=ESMQ1/2I* | ID=16_LAGI6E_I
STAR:ESMQ:16:LATVI6E:LATVI D035M D337K CF16 FF16 ;  Combiner=ESMQ1/2I* | ID=16_LATV6E_I
STAR:ESMQ:16:MOVIS4E:MOVIS D358P D358M D337K CF16 FF16 ;  Combiner=ESMQ1/2I* | ID=16_MOVI4E_I
STAR:ESMQ:16:TILSA6E:TILSA D285M D316K CF16 FF16 ;  Combiner=ESMQ1/2I* | ID=16_TILS6E_I
STAR:ESMQ:16:LAGIS1S·RNP:LAGIS MQ852 MQ850 MQ854 ;  Combiner=ESMQ1/5R | ID=16_LAGI1S_R
STAR:ESMQ:16:LATVI1S·RNP:LATVI MQ510 MQ853 MQ850 MQ854 ;  Combiner=ESMQ1/5R | ID=16_LATV1S_R
STAR:ESMQ:16:MOVIS1S·RNP:MOVIS MQ860 MQ850 MQ854 ;  Combiner=ESMQ1/5R | ID=16_MOVI1S_R
STAR:ESMQ:16:TILSA1S·RNP:TILSA MQ852 MQ850 MQ854 ;  Combiner=ESMQ1/5R | ID=16_TILS1S_R
STAR:ESMQ:34:KAL·VORDME:KAL FD34 20VOR ;  Combiner=ESMQ1/AD | ID=34_KAL_D
STAR:ESMQ:34:L·DIXOT·RNP:DIXOT SULAX MQ550 ;  Combiner=ESMQ1/6AR | ID=34_L_DIXOT_R
STAR:ESMQ:34:R·TESVI·RNP:TESVI SULAX MQ550 ;  Combiner=ESMQ1/6AR | ID=34_R_TESVI_R
STAR:ESMQ:34:S·GOPNI·RNP:GOPNI SULAX MQ550 ;  Combiner=ESMQ1/6AR | ID=34_S_GOPNI_R
STAR:ESMQ:34:KAL·1·VORDME:LAGIS KAL FD34 20VOR ;  Combiner=ESMQ1/3A*D | ID=34_KAL-1_KAL_D
STAR:ESMQ:34:KAL·2·VORDME:LATVI KAL FD34 20VOR ;  Combiner=ESMQ1/3A*D | ID=34_KAL-2_KAL_D
STAR:ESMQ:34:KAL·3·VORDME:MOVIS KAL FD34 20VOR ;  Combiner=ESMQ1/3A*D | ID=34_KAL-3_KAL_D
STAR:ESMQ:34:KAL·4·VORDME:TILSA KAL FD34 20VOR ;  Combiner=ESMQ1/3A*D | ID=34_KAL-4_KAL_D
STAR:ESMQ:34:LAGIS7F·VORDME:LAGIS D230L D157J FD34 20VOR ;  Combiner=ESMQ1/2A*D | ID=34_LAGI7F_KAL_D
STAR:ESMQ:34:LATVI7F·VORDME:LATVI D035L D131J FD34 20VOR ;  Combiner=ESMQ1/2A*D | ID=34_LATV7F_KAL_D
STAR:ESMQ:34:LAGIS1T·RNP:LAGIS DIXOT SULAX MQ550 ;  Combiner=ESMQ1/5R | ID=34_LAGI1T_R
STAR:ESMQ:34:LATVI1T·RNP:LATVI MQ520 TESVI SULAX MQ550 ;  Combiner=ESMQ1/5R | ID=34_LATV1T_R
STAR:ESMQ:34:MOVIS1T·RNP:MOVIS MQ500 TESVI SULAX MQ550 ;  Combiner=ESMQ1/5R | ID=34_MOVI1T_R
STAR:ESMQ:34:TILSA1T·RNP:TILSA DIXOT SULAX MQ550 ;  Combiner=ESMQ1/5R | ID=34_TILS1T_R
STAR:ESMS:17:NORVI·ILS:NORVI MS850 CI17 FI17 ;  Combiner=ESMS1/3A*I | ID=17_NORVI_MS850_I
STAR:ESMS:17:BAKLI1S:BAKLI TIDVU MS546 MS545 MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_BAKL1S_MS850_I
STAR:ESMS:17:DETUS2S:DETUS MS720 MS721 MS853 MS851 MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_DETU2S_MS850_I
STAR:ESMS:17:EKRAL1S:EKRAL MS539 MS545 MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_EKRA1S_MS850_I
STAR:ESMS:17:ERNOV1S:ERNOV MS860 BABSI NORVI MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_ERNO1S_MS850_I
STAR:ESMS:17:RASMU1S:RASMU GAMVI MS549 MS548 NORVI MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_RASM1S_MS850_I
STAR:ESMS:17:ROE1S:ROE MS540 MS546 MS545 MS850 CI17 FI17 ;  Combiner=ESMS1/5A*I* | ID=17_ROE1S_MS850_I
STAR:ESMS:17:SUP·ILS:SUP CI17 FI17 ;  Combiner=ESMS1/AI | ID=17_SUP_I
STAR:ESMS:17:MS850·RNP·Z:MS850 MS901 ;  Combiner=ESMS1/AR | ID=17_MS850_R-Z
STAR:ESMS:17:XETRI·RNP·Y:XETRI MS520 MS521 MS522 ;  Combiner=ESMS1/AR | ID=17_XETRI_R-Y
STAR:ESMS:17:SUP·VORDME:SUP D348E FD17 ;  Combiner=ESMS1/AD | ID=17_SUP_D
STAR:ESMS:35:SUP·ILS:SUP MS610 CI35 FI35 ;  Combiner=ESMS1/3A*I | ID=35_SUP_MS610_I
STAR:ESMS:35:SOROM·ILS:SOROM MS610 CI35 FI35 ;  Combiner=ESMS1/3A*I | ID=35_SOROM_MS610_I
STAR:ESMS:35:BAKLI1T:BAKLI MS613 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_BAKL1T_MS610_I
STAR:ESMS:35:DETUS1T:DETUS MS635 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_DETU1T_MS610_I
STAR:ESMS:35:EKRAL1T:EKRAL MS502 MS612 MS611 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_EKRA1T_MS610_I
STAR:ESMS:35:ERNOV1T:ERNOV BABSI MS900 MS825 MS635 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_ERNO1T_MS610_I
STAR:ESMS:35:RASMU1T:RASMU GAMVI MS501 MS500 MS612 MS611 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_RASM1T_MS610_I
STAR:ESMS:35:ROE1T:ROE MS614 MS611 MS610 CI35 FI35 ;  Combiner=ESMS1/5A*I* | ID=35_ROE1T_MS610_I
STAR:ESMS:35:MS610·RNP·Z:MS610 MS600 ;  Combiner=ESMS1/AR | ID=35_MS610_R-Z
STAR:ESMS:35:SITMU·RNP·Y:SITMU MS530 MS550 MS551 ;  Combiner=ESMS1/AR | ID=35_SITMU_R-Y
STAR:ESMS:35:SUP·VORDME:SUP D171E FD35 50VOR ;  Combiner=ESMS1/AD | ID=35_SUP_D
STAR:ESMT:01:MF·NDBDME·Z:MF CQ01 FQ01 ;  Combiner=ESMT1/AQ | ID=01_MF_Q-Z
STAR:ESMT:01:MF·1·NDBDME·Z:PELOX MF CQ01 FQ01 ;  Combiner=ESMT1/3A*Q | ID=01_MF-1_MF_Q-Z
STAR:ESMT:01:PELOX3R·RNP:PELOX MT460 MT580 MT800 MT801 ;  Combiner=ESMT1/5R | ID=01_PELO3R_R
STAR:ESMT:01:L·MT803·RNP:MT803 MT800 MT801 ;  Combiner=ESMT1/6AR | ID=01_L_MT803_R
STAR:ESMT:01:R·MT552·RNP:MT552 MT800 MT801 ;  Combiner=ESMT1/6AR | ID=01_R_MT552_R
STAR:ESMT:01:S·ABVUR·RNP:ABVUR MT800 MT801 ;  Combiner=ESMT1/6AR | ID=01_S_ABVUR_R
STAR:ESMT:01:DME12·NDBDME·Z:D187I CQ01 FQ01 ;  Combiner=ESMT1/AQ | ID=01_DME12_Q-Z
STAR:ESMT:01:MF·NDB·Y:MF FQ01 ;  Combiner=ESMT1/AN | ID=01_MF_N-Y
STAR:ESMT:19:LT·ILS·Y:LT CF19 FF19 ;  Combiner=ESMT1/AI | ID=19_LT_I-Y
STAR:ESMT:19:LT·1·ILS·Y:PELOX LT CF19 FF19 ;  Combiner=ESMT1/3A*I | ID=19_LT-1_LT_I-Y
STAR:ESMT:19:PELOX3T:PELOX MT510 MT500 FF19 ;  Combiner=ESMT1/5I* | ID=19_PELO3T_I-Z
STAR:ESMT:19:L·MT503·ILS·Z:MT503 MT500 FF19 ;  Combiner=ESMT1/6AI | ID=19_L_MT503_I-Z
STAR:ESMT:19:R·MT851·ILS·Z:MT851 MT500 FF19 ;  Combiner=ESMT1/6AI | ID=19_R_MT851_I-Z
STAR:ESMT:19:S·OSRUK·ILS·Z:OSRUK MT500 FF19 ;  Combiner=ESMT1/6AI | ID=19_S_OSRUK_I-Z
STAR:ESMT:19:L·MT503·RNP:MT503 MT500 MT501 ;  Combiner=ESMT1/6AR | ID=19_L_MT503_R
STAR:ESMT:19:R·MT851·RNP:MT851 MT500 MT501 ;  Combiner=ESMT1/6AR | ID=19_R_MT851_R
STAR:ESMT:19:S·OSRUK·RNP:OSRUK MT500 MT501 ;  Combiner=ESMT1/6AR | ID=19_S_OSRUK_R
STAR:ESMT:19:LT·NDB:LT ;  Combiner=ESMT1/AN | ID=19_LT_N
STAR:ESMV:04:OVHD·MV:ESMV ;  Combiner=ESMV1/2 | ID=04_OVHD-MV
STAR:ESMV:22:OVHD·MV:ESMV ;  Combiner=ESMV1/2 | ID=22_OVHD-MV
STAR:ESMX:01:VX·LOC:VX CF01 VX ;  Combiner=ESMX1/AL | ID=01_VX_L
STAR:ESMX:01:DIMGA·LOC:DIMGA CF01 VX ;  Combiner=ESMX1/AL | ID=01_DIMGA_L
STAR:ESMX:01:L·MX751·RNP:MX751 DIMGA MX750 ;  Combiner=ESMX1/6AR | ID=01_L_MX751_R
STAR:ESMX:01:R·MX565·RNP:MX565 DIMGA MX750 ;  Combiner=ESMX1/6AR | ID=01_R_MX565_R
STAR:ESMX:01:S·MX752·RNP:MX752 DIMGA MX750 ;  Combiner=ESMX1/6AR | ID=01_S_MX752_R
STAR:ESMX:01:DME11·LOC:D187K CF01 VX ;  Combiner=ESMX1/AL | ID=01_DME11_L
STAR:ESMX:01:DME11·NDBDME:D187K CF01 VX ;  Combiner=ESMX1/AQ | ID=01_DME11_Q
STAR:ESMX:01:VX·NDBDME:VX CF01 VX ;  Combiner=ESMX1/AQ | ID=01_VX_Q
STAR:ESMX:01:DIMGA·1·LOC:ROXEN DIMGA CF01 VX ;  Combiner=ESMX1/3A*L | ID=01_DIMGA-1_DIMGA_L
STAR:ESMX:01:VX·1·LOC:BEDOS VX CF01 VX ;  Combiner=ESMX1/3A*L | ID=01_VX-1_VX_L
STAR:ESMX:01:VX·2·LOC:SONPA VX CF01 VX ;  Combiner=ESMX1/3A*L | ID=01_VX-2_VX_L
STAR:ESMX:19:IBTOX·ILS:IBTOX CI19 FI19 ;  Combiner=ESMX1/AI | ID=19_IBTOX_I
STAR:ESMX:19:JX·ILS:JX CI19 FI19 ;  Combiner=ESMX1/AI | ID=19_JX_I
STAR:ESMX:19:DME12·ILS:D007L CI19 FI19 ;  Combiner=ESMX1/AI | ID=19_DME12_I
STAR:ESMX:19:L·MX531·RNP:MX531 IBTOX MX530 ;  Combiner=ESMX1/6AR | ID=19_L_MX531_R
STAR:ESMX:19:R·MX850·RNP:MX850 IBTOX MX530 ;  Combiner=ESMX1/6AR | ID=19_R_MX850_R
STAR:ESMX:19:S·MX532·RNP:MX532 IBTOX MX530 ;  Combiner=ESMX1/6AR | ID=19_S_MX532_R
STAR:ESMX:19:DME11·NDBDME:D007K CF19 JX ;  Combiner=ESMX1/AQ | ID=19_DME11_Q
STAR:ESMX:19:JX·NDBDME:JX CF19 JX ;  Combiner=ESMX1/AQ | ID=19_JX_Q
STAR:ESMX:19:IBTOX·1:BEDOS IBTOX CI19 FI19 ;  Combiner=ESMX1/3A*I* | ID=19_IBTOX-1_IBTOX_I
STAR:ESMX:19:IBTOX·2:SONPA IBTOX CI19 FI19 ;  Combiner=ESMX1/3A*I* | ID=19_IBTOX-2_IBTOX_I
STAR:ESMX:19:JX·1:ROXEN JX CI19 FI19 ;  Combiner=ESMX1/3A*I* | ID=19_JX-1_JX_I
STAR:ESND:09:OVHD·ND:ESND ;  Combiner=ESND1/2 | ID=09_OVHD-ND
STAR:ESND:09:L·ND850·ILS·Z:ND850 ND700 FF09 ;  Combiner=ESND1/6AI | ID=09_L_ND850_I-Z
STAR:ESND:09:R·ND703·ILS·Z:ND703 ND700 FF09 ;  Combiner=ESND1/6AI | ID=09_R_ND703_I-Z
STAR:ESND:09:S·ND704·ILS·Z:ND704 ND700 FF09 ;  Combiner=ESND1/6AI | ID=09_S_ND704_I-Z
STAR:ESND:09:DME16·ILS·Y:D261P CF09 FF09 ;  Combiner=ESND1/AI | ID=09_DME16_I-Y
STAR:ESND:09:OY·ILS·Y:OY CF09 FF09 ;  Combiner=ESND1/AI | ID=09_OY_I-Y
STAR:ESND:09:L·ND850·RNP:ND850 ND700 ND701 ;  Combiner=ESND1/6AR | ID=09_L_ND850_R
STAR:ESND:09:R·ND703·RNP:ND703 ND700 ND701 ;  Combiner=ESND1/6AR | ID=09_R_ND703_R
STAR:ESND:09:S·ND704·RNP:ND704 ND700 ND701 ;  Combiner=ESND1/6AR | ID=09_S_ND704_R
STAR:ESND:09:DME16·NDBDME:D261P CF09 FF09 OY ;  Combiner=ESND1/AQ | ID=09_DME16_Q
STAR:ESND:09:OY·NDBDME:OY CF09 FF09 OY ;  Combiner=ESND1/AQ | ID=09_OY_Q
STAR:ESND:27:OVHD·ND:ESND ;  Combiner=ESND1/2 | ID=27_OVHD-ND
STAR:ESND:27:L·ND550·RNP:ND550 ND500 ND501 ;  Combiner=ESND1/6AR | ID=27_L_ND550_R
STAR:ESND:27:R·ND503·RNP:ND503 ND500 ND501 ;  Combiner=ESND1/6AR | ID=27_R_ND503_R
STAR:ESND:27:S·ND504·RNP:ND504 ND500 ND501 ;  Combiner=ESND1/6AR | ID=27_S_ND504_R
STAR:ESNG:12:OG:OG ESNG ;  Combiner=ESNG1/2 | ID=12_OG
STAR:ESNG:12:L·NG855·RNP:NG855 NG850 NG851 ;  Combiner=ESNG1/6AR | ID=12_L_NG855_R
STAR:ESNG:12:R·NG854·RNP:NG854 NG850 NG851 ;  Combiner=ESNG1/6AR | ID=12_R_NG854_R
STAR:ESNG:12:S·NG853·RNP:NG853 NG850 NG851 ;  Combiner=ESNG1/6AR | ID=12_S_NG853_R
STAR:ESNG:12:TG·NDBDME:TG FQ12 44DME ;  Combiner=ESNG1/AQ | ID=12_TG_Q
STAR:ESNG:30:OG·ILS:OG CL30 FF30 ;  Combiner=ESNG1/AI | ID=30_OG_I
STAR:ESNG:30:NAT10·ILS:D342J D109J CL30 FF30 ;  Combiner=ESNG1/AI | ID=30_NAT10_I
STAR:ESNG:30:L·NG553·RNP:NG553 XEBIB NG550 ;  Combiner=ESNG1/6AR | ID=30_L_NG553_R
STAR:ESNG:30:R·NG552·RNP:NG552 XEBIB NG550 ;  Combiner=ESNG1/6AR | ID=30_R_NG552_R
STAR:ESNG:30:S·NG551·RNP:NG551 XEBIB NG550 ;  Combiner=ESNG1/6AR | ID=30_S_NG551_R
STAR:ESNG:30:OG·NDB:OG ;  Combiner=ESNG1/AN | ID=30_OG_N
STAR:ESNJ:14:OVHD·NJ:ESNJ ;  Combiner=ESNJ1/2 | ID=14_OVHD-NJ
STAR:ESNJ:32:OVHD·NJ:ESNJ ;  Combiner=ESNJ1/2 | ID=32_OVHD-NJ
STAR:ESNK:17:OVHD·NK:ESNK ;  Combiner=ESNK1/2 | ID=17_OVHD-NK
STAR:ESNK:17:DME16·LOC:D165P CL17 FF17 40LOC ;  Combiner=ESNK1/AL | ID=17_DME16_L
